scheduler,success_rate,avg_delay,makespan,throughput,latency,energy,completed_tasks,total_tasks,total_time,seed,trial
DMITS,100.0,3.3480000000000003,167.4,0.29868578255675027,3.3480000000000003,58.370000000000005,50,50,167.4,42,0
PROPOSED,100.0,3.3480000000000003,167.4,0.29868578255675027,3.3480000000000003,58.370000000000005,50,50,167.4,42,0
DMITS,100.0,3.2119999999999993,160.59999999999997,0.3113325031133251,3.2119999999999993,58.03,50,50,160.59999999999997,59,1
PROPOSED,100.0,3.2119999999999993,160.59999999999997,0.3113325031133251,3.2119999999999993,58.03,50,50,160.59999999999997,59,1
DMITS,100.0,3.1419999999999995,157.09999999999997,0.3182686187141949,3.1419999999999995,57.855,50,50,157.09999999999997,76,2
PROPOSED,100.0,3.1419999999999995,157.09999999999997,0.3182686187141949,3.1419999999999995,57.855,50,50,157.09999999999997,76,2
DMITS,100.0,3.2239999999999998,161.2,0.3101736972704715,3.2239999999999998,58.06,50,50,161.2,93,3
PROPOSED,100.0,3.2239999999999998,161.2,0.3101736972704715,3.2239999999999998,58.06,50,50,161.2,93,3
DMITS,100.0,3.2079999999999997,160.39999999999998,0.31172069825436416,3.2079999999999997,58.019999999999996,50,50,160.39999999999998,110,4
PROPOSED,100.0,3.1419999999999995,157.09999999999997,0.3182686187141949,3.1419999999999995,57.855,50,50,157.09999999999997,110,4
DMITS,100.0,3.2359999999999998,161.79999999999998,0.30902348578491967,3.2359999999999998,58.09,50,50,161.79999999999998,127,5
PROPOSED,100.0,3.2359999999999998,161.79999999999998,0.30902348578491967,3.2359999999999998,58.09,50,50,161.79999999999998,127,5
DMITS,100.0,3.091999999999999,154.59999999999997,0.32341526520051755,3.091999999999999,57.73,50,50,154.59999999999997,144,6
PROPOSED,100.0,3.091999999999999,154.59999999999997,0.32341526520051755,3.091999999999999,57.73,50,50,154.59999999999997,144,6
DMITS,100.0,3.091999999999999,154.59999999999997,0.32341526520051755,3.091999999999999,57.73,50,50,154.59999999999997,161,7
PROPOSED,100.0,3.091999999999999,154.59999999999997,0.32341526520051755,3.091999999999999,57.73,50,50,154.59999999999997,161,7
DMITS,100.0,3.1619999999999995,158.09999999999997,0.31625553447185334,3.1619999999999995,57.905,50,50,158.09999999999997,178,8
PROPOSED,100.0,3.1619999999999995,158.09999999999997,0.31625553447185334,3.1619999999999995,57.905,50,50,158.09999999999997,178,8
DMITS,100.0,3.1499999999999995,157.49999999999997,0.3174603174603175,3.1499999999999995,57.875,50,50,157.49999999999997,195,9
PROPOSED,100.0,3.1499999999999995,157.49999999999997,0.3174603174603175,3.1499999999999995,57.875,50,50,157.49999999999997,195,9
DMITS,100.0,3.091999999999999,154.59999999999997,0.32341526520051755,3.091999999999999,57.73,50,50,154.59999999999997,212,10
PROPOSED,100.0,3.091999999999999,154.59999999999997,0.32341526520051755,3.091999999999999,57.73,50,50,154.59999999999997,212,10
DMITS,100.0,3.1619999999999995,158.09999999999997,0.31625553447185334,3.1619999999999995,57.905,50,50,158.09999999999997,229,11
PROPOSED,100.0,3.1619999999999995,158.09999999999997,0.31625553447185334,3.1619999999999995,57.905,50,50,158.09999999999997,229,11
DMITS,100.0,3.2239999999999993,161.19999999999996,0.31017369727047156,3.2239999999999993,58.06,50,50,161.19999999999996,246,12
PROPOSED,100.0,3.2239999999999993,161.19999999999996,0.31017369727047156,3.2239999999999993,58.06,50,50,161.19999999999996,246,12
DMITS,100.0,3.1619999999999995,158.09999999999997,0.31625553447185334,3.1619999999999995,57.905,50,50,158.09999999999997,263,13
PROPOSED,100.0,3.1619999999999995,158.09999999999997,0.31625553447185334,3.1619999999999995,57.905,50,50,158.09999999999997,263,13
DMITS,100.0,3.2199999999999993,160.99999999999997,0.31055900621118016,3.2199999999999993,58.05,50,50,160.99999999999997,280,14
PROPOSED,100.0,3.2199999999999993,160.99999999999997,0.31055900621118016,3.2199999999999993,58.05,50,50,160.99999999999997,280,14
DMITS,100.0,3.2079999999999997,160.39999999999998,0.31172069825436416,3.2079999999999997,58.019999999999996,50,50,160.39999999999998,297,15
PROPOSED,100.0,3.2079999999999997,160.39999999999998,0.31172069825436416,3.2079999999999997,58.019999999999996,50,50,160.39999999999998,297,15
DMITS,100.0,3.2739999999999996,163.7,0.3054367745876604,3.2739999999999996,58.185,50,50,163.7,314,16
PROPOSED,100.0,3.2739999999999996,163.7,0.3054367745876604,3.2739999999999996,58.185,50,50,163.7,314,16
DMITS,100.0,3.441999999999999,172.09999999999994,0.2905287623474725,3.441999999999999,58.605,50,50,172.09999999999994,331,17
PROPOSED,100.0,3.441999999999999,172.09999999999994,0.2905287623474725,3.441999999999999,58.605,50,50,172.09999999999994,331,17
DMITS,100.0,3.4139999999999997,170.7,0.29291154071470415,3.4139999999999997,58.535,50,50,170.7,348,18
PROPOSED,100.0,3.4139999999999997,170.7,0.29291154071470415,3.4139999999999997,58.535,50,50,170.7,348,18
DMITS,100.0,3.3239999999999994,166.19999999999996,0.30084235860409153,3.3239999999999994,58.31,50,50,166.19999999999996,365,19
PROPOSED,100.0,3.2739999999999996,163.7,0.3054367745876604,3.2739999999999996,58.185,50,50,163.7,365,19
DMITS,100.0,3.1659999999999995,158.29999999999998,0.3158559696778269,3.1659999999999995,57.915,50,50,158.29999999999998,382,20
PROPOSED,100.0,3.1659999999999995,158.29999999999998,0.3158559696778269,3.1659999999999995,57.915,50,50,158.29999999999998,382,20
DMITS,100.0,3.3360000000000003,166.8,0.29976019184652275,3.3360000000000003,58.34,50,50,166.8,399,21
PROPOSED,100.0,3.3360000000000003,166.8,0.29976019184652275,3.3360000000000003,58.34,50,50,166.8,399,21
DMITS,94.0,3.4170212765957433,160.59999999999994,0.29265255292652564,3.4170212765957433,56.03,47,50,160.59999999999994,416,22
PROPOSED,100.0,3.3199999999999994,165.99999999999997,0.30120481927710846,3.3199999999999994,58.3,50,50,165.99999999999997,416,22
DMITS,100.0,3.2079999999999997,160.39999999999998,0.31172069825436416,3.2079999999999997,58.019999999999996,50,50,160.39999999999998,433,23
PROPOSED,100.0,3.2079999999999997,160.39999999999998,0.31172069825436416,3.2079999999999997,58.019999999999996,50,50,160.39999999999998,433,23
DMITS,100.0,3.1579999999999995,157.89999999999998,0.3166561114629513,3.1579999999999995,57.894999999999996,50,50,157.89999999999998,450,24
PROPOSED,100.0,3.1579999999999995,157.89999999999998,0.3166561114629513,3.1579999999999995,57.894999999999996,50,50,157.89999999999998,450,24
DMITS,100.0,3.3439999999999994,167.19999999999996,0.299043062200957,3.3439999999999994,58.36,50,50,167.19999999999996,467,25
PROPOSED,100.0,3.273999999999999,163.69999999999996,0.30543677458766044,3.273999999999999,58.185,50,50,163.69999999999996,467,25
DMITS,100.0,3.2039999999999997,160.2,0.31210986267166047,3.2039999999999997,58.01,50,50,160.2,484,26
PROPOSED,100.0,3.2039999999999997,160.2,0.31210986267166047,3.2039999999999997,58.01,50,50,160.2,484,26
DMITS,100.0,3.261999999999999,163.09999999999997,0.3065603923973023,3.261999999999999,58.155,50,50,163.09999999999997,501,27
PROPOSED,100.0,3.261999999999999,163.09999999999997,0.3065603923973023,3.261999999999999,58.155,50,50,163.09999999999997,501,27
DMITS,100.0,3.1579999999999995,157.89999999999998,0.3166561114629513,3.1579999999999995,57.894999999999996,50,50,157.89999999999998,518,28
PROPOSED,100.0,3.1579999999999995,157.89999999999998,0.3166561114629513,3.1579999999999995,57.894999999999996,50,50,157.89999999999998,518,28
DMITS,100.0,3.3099999999999996,165.49999999999997,0.3021148036253777,3.3099999999999996,58.275,50,50,165.49999999999997,535,29
PROPOSED,100.0,3.3099999999999996,165.49999999999997,0.3021148036253777,3.3099999999999996,58.275,50,50,165.49999999999997,535,29
